Medication_Brand,Medication_Type,Unit_Price,Dosage_Size,Volume,Category,Purchase_Price,Supplier_ID,Supplier_Name
58,Cough Syrup,129.9,5.0,750,1,9.28,8320,MediDistributors
62,Sedative,369.90000000000003,5.0,750,1,28.67,1128,LifeCare Supplies
63,Cough Syrup,389.90000000000003,5.0,750,1,30.46,1128,MediCorp
72,Analgesic,349.90000000000003,5.0,750,1,26.11,9165,MedSupply Co.
75,Diabetes Medication,149.9,5.0,750,1,10.94,7245,MediCorp
77,Antiviral,129.9,5.0,750,1,10.39,7245,BioPharma Inc.
79,Antipyretic,149.9,5.0,750,1,9.62,7245,BioPharma Inc.
115,Antiviral,279.9,5.0,1000,1,21.37,8112,Global Health Distributors
126,Antidepressant,329.90000000000003,5.0,1000,1,20.14,480,BioPharma Inc.
168,Vaccine,129.9,5.0,750,1,8.95,7245,BioPharma Inc.
171,Antihistamine,499.90000000000003,5.0,1750,1,36.76,1128,HealthPlus Supplies
173,Antipyretic,229.89999999999998,5.0,750,1,14.7,12546,LifeCare Supplies
175,Stimulant,369.90000000000003,5.0,750,1,26.8,7245,Healthcare Supplier A
178,Stimulant,299.9,5.0,750,1,20.76,11567,MedSupply Co.
192,Laxative,359.90000000000003,5.0,750,1,27.68,3664,HealthPlus Supplies
211,Laxative,249.89999999999998,5.0,750,1,19.83,4425,Global Health Distributors
229,Antiseptic,129.9,5.0,750,1,10.39,12546,HealthPro Solutions
233,Anti-inflammatory,469.90000000000003,5.0,750,1,30.21,3664,PharmaTech Solutions
247,Antihistamine,1999.9,5.0,750,1,156.24,9165,MediCorp
254,Laxative,109.9,5.0,1000,1,8.79,12546,LifeCare Supplies
261,Sedative,129.9,5.0,1000,1,9.99,1392,BioPharma Inc.
273,Laxative,219.89999999999998,5.0,1750,1,17.31,12546,MedSupply Co.
283,Stimulant,619.9,5.0,750,1,39.69,3664,HealthPlus Supplies
284,Stimulant,779.9,5.0,750,1,53.43,3664,PharmaTech Solutions
294,Antacid,84.9,5.0,1000,1,6.79,9552,HealthPro Solutions
305,Cough Syrup,279.9,5.0,1000,1,22.21,3960,Healthcare Supplier A
323,Analgesic,139.9,5.0,750,1,10.6,5992,Pharma Distributor B
344,Antidepressant,199.89999999999998,5.0,750,1,15.74,9165,Healthcare Supplier A
361,Sedative,199.89999999999998,5.0,750,1,14.28,12546,MediDistributors
376,Antipyretic,269.9,5.0,750,1,18.97,11567,Healthcare Supplier A
384,Blood Pressure Medication,749.9,5.0,750,1,54.68,8112,Healthcare Supplier A
388,Vaccine,144.9,5.0,1000,1,11.41,3960,Global Health Distributors
408,Laxative,169.89999999999998,5.0,750,1,12.97,11567,PharmaTech Solutions
415,Antiseptic,209.89999999999998,5.0,1000,1,13.04,7245,BioPharma Inc.
419,Vaccine,219.89999999999998,5.0,1000,1,15.99,17035,LifeCare Supplies
425,Antipyretic,7999.9,5.0,750,1,620.15,8112,HealthPro Solutions
426,Antacid,79.9,5.0,50,1,6.29,9165,MediCorp
435,Anti-inflammatory,179.89999999999998,5.0,750,1,12.79,7153,LifeCare Supplies
438,Vaccine,199.89999999999998,5.0,750,1,12.77,4425,PharmaTech Solutions
443,Anti-inflammatory,339.90000000000003,5.0,750,1,24.45,480,Healthcare Supplier A
450,Antifungal,249.89999999999998,5.0,750,1,19.52,4425,LifeCare Supplies
463,Laxative,339.90000000000003,5.0,750,1,24.63,653,Healthcare Supplier A
482,Cough Syrup,219.89999999999998,5.0,1000,1,14.28,17035,HealthPlus Supplies
485,Stimulant,129.9,5.0,1000,1,10.39,3960,LifeCare Supplies
497,Vaccine,199.89999999999998,5.0,1000,1,14.7,3960,HealthPro Solutions
508,Antacid,129.9,5.0,1000,1,9.77,480,MediCorp
513,Blood Pressure Medication,289.9,5.0,750,1,23.01,9165,MedLink
515,Analgesic,359.90000000000003,5.0,750,1,25.36,9165,MedLink
525,Sedative,399.90000000000003,5.0,750,1,31.0,12546,MedSupply Co.
536,Antacid,129.9,5.0,1000,1,9.92,1392,Pharma Distributor B
538,Anti-inflammatory,129.9,5.0,375,1,7.96,2555,MedSupply Co.
539,Laxative,57.9,5.0,1000,1,4.2,8004,Global Health Distributors
543,Painkiller,319.9,5.0,750,1,22.72,9552,Global Health Distributors
555,Antidepressant,299.9,5.0,750,1,21.73,3664,Healthcare Supplier A
567,Antifungal,289.9,5.0,1000,1,20.71,3960,Healthcare Supplier A
592,Antiseptic,1649.9,5.0,750,1,127.99,17035,HealthPlus Supplies
597,Vaccine,279.9,5.0,1000,1,21.53,3960,HealthPlus Supplies
605,Laxative,169.89999999999998,5.0,750,2,9.67,10754,MedLink
607,Antipyretic,84.9,5.0,750,2,5.74,9552,MediDistributors
649,Blood Pressure Medication,369.90000000000003,5.0,750,1,28.67,12546,MediCorp
653,Analgesic,299.9,5.0,750,1,21.73,3924,Pharma Distributor B
661,Anti-inflammatory,169.89999999999998,5.0,750,1,9.99,12546,MediCorp
664,Diuretic,789.9,5.0,750,1,54.01,8112,Healthcare Supplier A
676,Antifungal,109.9,5.0,750,1,8.65,12546,MedLink
680,Antibiotic,189.89999999999998,5.0,750,1,13.86,9165,MedSupply Co.
686,Analgesic,189.89999999999998,5.0,750,1,14.95,9165,HealthPlus Supplies
693,Antidepressant,129.9,5.0,1000,1,9.35,1392,HealthPlus Supplies
742,Antidepressant,129.9,5.0,1000,1,10.39,12546,MedSupply Co.
743,Antihistamine,459.90000000000003,5.0,750,1,36.5,480,Healthcare Supplier A
753,Anti-inflammatory,199.89999999999998,5.0,750,2,13.79,90032,Pharma Distributor B
757,Antibiotic,179.89999999999998,5.0,750,1,13.95,12546,Healthcare Supplier A
758,Antihistamine,399.90000000000003,5.0,1000,1,28.77,7239,Pharma Distributor B
759,Antidepressant,499.90000000000003,5.0,750,1,37.0,9165,PharmaTech Solutions
779,Cholesterol Medication,129.9,5.0,1000,1,9.55,1392,HealthPlus Supplies
780,Painkiller,129.9,5.0,1000,1,9.84,1392,MedLink
782,Cholesterol Medication,549.9,5.0,750,1,35.15,7239,MedSupply Co.
802,Analgesic,119.9,5.0,750,1,7.99,480,HealthPlus Supplies
807,Stimulant,199.89999999999998,5.0,1000,1,13.23,12546,MediDistributors
809,Anti-inflammatory,179.89999999999998,5.0,1000,1,13.13,1128,MediCorp
810,Antiviral,119.9,5.0,750,1,7.19,480,HealthPro Solutions
